dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_sum,registered_sum,cnt_sum
2011-01-01,spring,2011,January,0,not holiday,Saturday,not workingday,clear,0.24,0.2879,0.81,0.0,3,13,16,331,654,985
2011-01-01,spring,2011,January,1,not holiday,Saturday,not workingday,clear,0.22,0.2727,0.8,0.0,8,32,40,331,654,985
2011-01-01,spring,2011,January,2,not holiday,Saturday,not workingday,clear,0.22,0.2727,0.8,0.0,5,27,32,331,654,985
2011-01-01,spring,2011,January,3,not holiday,Saturday,not workingday,clear,0.24,0.2879,0.75,0.0,3,10,13,331,654,985
2011-01-01,spring,2011,January,4,not holiday,Saturday,not workingday,clear,0.24,0.2879,0.75,0.0,0,1,1,331,654,985
2011-01-01,spring,2011,January,5,not holiday,Saturday,not workingday,mist,0.24,0.2576,0.75,0.0896,0,1,1,331,654,985
2011-01-01,spring,2011,January,6,not holiday,Saturday,not workingday,clear,0.22,0.2727,0.8,0.0,2,0,2,331,654,985
2011-01-01,spring,2011,January,7,not holiday,Saturday,not workingday,clear,0.2,0.2576,0.86,0.0,1,2,3,331,654,985
2011-01-01,spring,2011,January,8,not holiday,Saturday,not workingday,clear,0.24,0.2879,0.75,0.0,1,7,8,331,654,985
2011-01-01,spring,2011,January,9,not holiday,Saturday,not workingday,clear,0.32,0.3485,0.76,0.0,8,6,14,331,654,985
2011-01-01,spring,2011,January,10,not holiday,Saturday,not workingday,clear,0.38,0.3939,0.76,0.2537,12,24,36,331,654,985
2011-01-01,spring,2011,January,11,not holiday,Saturday,not workingday,clear,0.36,0.3333,0.81,0.2836,26,30,56,331,654,985
2011-01-01,spring,2011,January,12,not holiday,Saturday,not workingday,clear,0.42,0.4242,0.77,0.2836,29,55,84,331,654,985
2011-01-01,spring,2011,January,13,not holiday,Saturday,not workingday,mist,0.46,0.4545,0.72,0.2985,47,47,94,331,654,985
2011-01-01,spring,2011,January,14,not holiday,Saturday,not workingday,mist,0.46,0.4545,0.72,0.2836,35,71,106,331,654,985
2011-01-01,spring,2011,January,15,not holiday,Saturday,not workingday,mist,0.44,0.4394,0.77,0.2985,40,70,110,331,654,985
2011-01-01,spring,2011,January,16,not holiday,Saturday,not workingday,mist,0.42,0.4242,0.82,0.2985,41,52,93,331,654,985
2011-01-01,spring,2011,January,17,not holiday,Saturday,not workingday,mist,0.44,0.4394,0.82,0.2836,15,52,67,331,654,985
2011-01-01,spring,2011,January,18,not holiday,Saturday,not workingday,light rain,0.42,0.4242,0.88,0.2537,9,26,35,331,654,985
2011-01-01,spring,2011,January,19,not holiday,Saturday,not workingday,light rain,0.42,0.4242,0.88,0.2537,6,31,37,331,654,985
2011-01-01,spring,2011,January,20,not holiday,Saturday,not workingday,mist,0.4,0.4091,0.87,0.2537,11,25,36,331,654,985
2011-01-01,spring,2011,January,21,not holiday,Saturday,not workingday,mist,0.4,0.4091,0.87,0.194,3,31,34,331,654,985
2011-01-01,spring,2011,January,22,not holiday,Saturday,not workingday,mist,0.4,0.4091,0.94,0.2239,11,17,28,331,654,985
2011-01-01,spring,2011,January,23,not holiday,Saturday,not workingday,mist,0.46,0.4545,0.88,0.2985,15,24,39,331,654,985
2011-01-02,spring,2011,January,0,not holiday,Sunday,not workingday,mist,0.46,0.4545,0.88,0.2985,4,13,17,131,670,801
2011-01-02,spring,2011,January,1,not holiday,Sunday,not workingday,mist,0.44,0.4394,0.94,0.2537,1,16,17,131,670,801
2011-01-02,spring,2011,January,2,not holiday,Sunday,not workingday,mist,0.42,0.4242,1.0,0.2836,1,8,9,131,670,801
2011-01-02,spring,2011,January,3,not holiday,Sunday,not workingday,mist,0.46,0.4545,0.94,0.194,2,4,6,131,670,801
2011-01-02,spring,2011,January,4,not holiday,Sunday,not workingday,mist,0.46,0.4545,0.94,0.194,2,1,3,131,670,801
2011-01-02,spring,2011,January,6,not holiday,Sunday,not workingday,light rain,0.42,0.4242,0.77,0.2985,0,2,2,131,670,801
2011-01-02,spring,2011,January,7,not holiday,Sunday,not workingday,mist,0.4,0.4091,0.76,0.194,0,1,1,131,670,801
2011-01-02,spring,2011,January,8,not holiday,Sunday,not workingday,light rain,0.4,0.4091,0.71,0.2239,0,8,8,131,670,801
2011-01-02,spring,2011,January,9,not holiday,Sunday,not workingday,mist,0.38,0.3939,0.76,0.2239,1,19,20,131,670,801
2011-01-02,spring,2011,January,10,not holiday,Sunday,not workingday,mist,0.36,0.3485,0.81,0.2239,7,46,53,131,670,801
2011-01-02,spring,2011,January,11,not holiday,Sunday,not workingday,mist,0.36,0.3333,0.71,0.2537,16,54,70,131,670,801
2011-01-02,spring,2011,January,12,not holiday,Sunday,not workingday,mist,0.36,0.3333,0.66,0.2985,20,73,93,131,670,801
2011-01-02,spring,2011,January,13,not holiday,Sunday,not workingday,mist,0.36,0.3485,0.66,0.1343,11,64,75,131,670,801
2011-01-02,spring,2011,January,14,not holiday,Sunday,not workingday,light rain,0.36,0.3485,0.76,0.194,4,55,59,131,670,801
2011-01-02,spring,2011,January,15,not holiday,Sunday,not workingday,light rain,0.34,0.3333,0.81,0.1642,19,55,74,131,670,801
2011-01-02,spring,2011,January,16,not holiday,Sunday,not workingday,light rain,0.34,0.3333,0.71,0.1642,9,67,76,131,670,801
2011-01-02,spring,2011,January,17,not holiday,Sunday,not workingday,clear,0.34,0.3333,0.57,0.194,7,58,65,131,670,801
2011-01-02,spring,2011,January,18,not holiday,Sunday,not workingday,mist,0.36,0.3333,0.46,0.3284,10,43,53,131,670,801
2011-01-02,spring,2011,January,19,not holiday,Sunday,not workingday,clear,0.32,0.2879,0.42,0.4478,1,29,30,131,670,801
2011-01-02,spring,2011,January,20,not holiday,Sunday,not workingday,clear,0.3,0.2727,0.39,0.3582,5,17,22,131,670,801
2011-01-02,spring,2011,January,21,not holiday,Sunday,not workingday,clear,0.26,0.2273,0.44,0.3284,11,20,31,131,670,801
2011-01-02,spring,2011,January,22,not holiday,Sunday,not workingday,clear,0.24,0.2121,0.44,0.2985,0,9,9,131,670,801
2011-01-02,spring,2011,January,23,not holiday,Sunday,not workingday,clear,0.22,0.2273,0.47,0.1642,0,8,8,131,670,801
2011-01-03,spring,2011,January,0,not holiday,Monday,workingday,clear,0.22,0.197,0.44,0.3582,0,5,5,120,1229,1349
2011-01-03,spring,2011,January,1,not holiday,Monday,workingday,clear,0.2,0.1667,0.44,0.4179,0,2,2,120,1229,1349
2011-01-03,spring,2011,January,4,not holiday,Monday,workingday,clear,0.16,0.1364,0.47,0.3881,0,1,1,120,1229,1349
2011-01-03,spring,2011,January,5,not holiday,Monday,workingday,clear,0.16,0.1364,0.47,0.2836,0,3,3,120,1229,1349
2011-01-03,spring,2011,January,6,not holiday,Monday,workingday,clear,0.14,0.1061,0.5,0.3881,0,30,30,120,1229,1349
2011-01-03,spring,2011,January,7,not holiday,Monday,workingday,clear,0.14,0.1364,0.5,0.194,1,63,64,120,1229,1349
2011-01-03,spring,2011,January,8,not holiday,Monday,workingday,clear,0.14,0.1212,0.5,0.2836,1,153,154,120,1229,1349
2011-01-03,spring,2011,January,9,not holiday,Monday,workingday,clear,0.16,0.1364,0.43,0.3881,7,81,88,120,1229,1349
2011-01-03,spring,2011,January,10,not holiday,Monday,workingday,clear,0.18,0.1667,0.43,0.2537,11,33,44,120,1229,1349
2011-01-03,spring,2011,January,11,not holiday,Monday,workingday,clear,0.2,0.1818,0.4,0.3284,10,41,51,120,1229,1349
2011-01-03,spring,2011,January,12,not holiday,Monday,workingday,clear,0.22,0.2121,0.35,0.2985,13,48,61,120,1229,1349
2011-01-03,spring,2011,January,13,not holiday,Monday,workingday,clear,0.24,0.2121,0.35,0.2836,8,53,61,120,1229,1349
